date,time,elevation
2023-01-01,0:00,2.288
2023-01-01,0:15,2.274
2023-01-01,0:30,2.247
2023-01-01,0:45,2.243
2023-01-01,1:00,2.279
2023-01-01,1:15,2.344
2023-01-01,1:30,2.418
2023-01-01,1:45,2.469
2023-01-01,2:00,2.502
2023-01-01,2:15,2.518
2023-01-01,2:30,2.565
2023-01-01,2:45,2.664
2023-01-01,3:00,2.803
2023-01-01,3:15,2.952
2023-01-01,3:30,3.083
2023-01-01,3:45,3.209
2023-01-01,4:00,3.343
2023-01-01,4:15,3.493
2023-01-01,4:30,3.664
2023-01-01,4:45,3.849
2023-01-01,5:00,4.032
2023-01-01,5:15,4.188
2023-01-01,5:30,4.31
2023-01-01,5:45,4.406
2023-01-01,6:00,4.477
2023-01-01,6:15,4.531
2023-01-01,6:30,4.557
2023-01-01,6:45,4.545
2023-01-01,7:00,4.502
2023-01-01,7:15,4.446
2023-01-01,7:30,4.389
2023-01-01,7:45,4.327
2023-01-01,8:00,4.273
2023-01-01,8:15,4.21
2023-01-01,8:30,4.119
2023-01-01,8:45,4.007
2023-01-01,9:00,3.873
2023-01-01,9:15,3.723
2023-01-01,9:30,3.553
2023-01-01,9:45,3.373
2023-01-01,10:00,3.184
2023-01-01,10:15,2.987
2023-01-01,10:30,2.79
2023-01-01,10:45,2.602
2023-01-01,11:00,2.434
2023-01-01,11:15,2.284
2023-01-01,11:30,2.169
2023-01-01,11:45,2.094
2023-01-01,12:00,2.05
2023-01-01,12:15,2.044
2023-01-01,12:30,2.065
2023-01-01,12:45,2.097
2023-01-01,13:00,2.136
2023-01-01,13:15,2.168
2023-01-01,13:30,2.199
2023-01-01,13:45,2.232
2023-01-01,14:00,2.269
2023-01-01,14:15,2.317
2023-01-01,14:30,2.364
2023-01-01,14:45,2.414
2023-01-01,15:00,2.473
2023-01-01,15:15,2.534
2023-01-01,15:30,2.609
2023-01-01,15:45,2.7
2023-01-01,16:00,2.813
2023-01-01,16:15,2.94
2023-01-01,16:30,3.079
2023-01-01,16:45,3.225
2023-01-01,17:00,3.373
2023-01-01,17:15,3.52
2023-01-01,17:30,3.651
2023-01-01,17:45,3.775
2023-01-01,18:00,3.885
2023-01-01,18:15,3.977
2023-01-01,18:30,4.039
2023-01-01,18:45,4.072
2023-01-01,19:00,4.074
2023-01-01,19:15,4.053
2023-01-01,19:30,4.018
2023-01-01,19:45,3.979
2023-01-01,20:00,3.936
2023-01-01,20:15,3.901
2023-01-01,20:30,3.861
2023-01-01,20:45,3.825
2023-01-01,21:00,3.765
2023-01-01,21:15,3.69
2023-01-01,21:30,3.581
2023-01-01,21:45,3.455
2023-01-01,22:00,3.295
2023-01-01,22:15,3.133
2023-01-01,22:30,2.954
2023-01-01,22:45,2.784
2023-01-01,23:00,2.604
2023-01-01,23:15,2.446
2023-01-01,23:30,2.303
2023-01-01,23:45,2.179
2023-01-02,0:00,2.075
2023-01-02,0:15,1.999
2023-01-02,0:30,1.965
2023-01-02,0:45,1.976
2023-01-02,1:00,2.023
2023-01-02,1:15,2.087
2023-01-02,1:30,2.16
2023-01-02,1:45,2.216
2023-01-02,2:00,2.257
2023-01-02,2:15,2.292
2023-01-02,2:30,2.33
2023-01-02,2:45,2.382
2023-01-02,3:00,2.443
2023-01-02,3:15,2.508
2023-01-02,3:30,2.565
2023-01-02,3:45,2.63
2023-01-02,4:00,2.702
2023-01-02,4:15,2.803
2023-01-02,4:30,2.939
2023-01-02,4:45,3.096
2023-01-02,5:00,3.264
2023-01-02,5:15,3.434
2023-01-02,5:30,3.606
2023-01-02,5:45,3.769
2023-01-02,6:00,3.925
2023-01-02,6:15,4.065
2023-01-02,6:30,4.208
2023-01-02,6:45,4.322
2023-01-02,7:00,4.407
2023-01-02,7:15,4.463
2023-01-02,7:30,4.482
2023-01-02,7:45,4.475
2023-01-02,8:00,4.466
2023-01-02,8:15,4.457
2023-01-02,8:30,4.438
2023-01-02,8:45,4.411
2023-01-02,9:00,4.363
2023-01-02,9:15,4.293
2023-01-02,9:30,4.195
2023-01-02,9:45,4.085
2023-01-02,10:00,3.949
2023-01-02,10:15,3.798
2023-01-02,10:30,3.624
2023-01-02,10:45,3.432
2023-01-02,11:00,3.225
2023-01-02,11:15,3.011
2023-01-02,11:30,2.795
2023-01-02,11:45,2.585
2023-01-02,12:00,2.392
2023-01-02,12:15,2.218
